Date,Predicted_AQI,City
2020-07-02,93.12545979461589,Ahmedabad
2020-07-03,78.2474505385421,Ahmedabad
2020-07-04,52.15067152764382,Ahmedabad
2020-07-05,58.79356065300149,Ahmedabad
2020-07-06,57.12241515808721,Ahmedabad
2020-07-07,69.35674267427116,Ahmedabad
2020-07-08,56.54032019636554,Ahmedabad
2020-07-09,92.49634076302769,Ahmedabad
2020-07-10,80.66732118945691,Ahmedabad
2020-07-11,57.6366043029346,Ahmedabad
2020-07-02,16.490314675852176,Aizawl
2020-07-03,15.721273138618534,Aizawl
2020-07-04,12.839043977173434,Aizawl
2020-07-05,13.02832803033016,Aizawl
2020-07-06,11.322434944313898,Aizawl
2020-07-07,14.004417857844448,Aizawl
2020-07-08,16.62371685717488,Aizawl
2020-07-09,14.869845964904442,Aizawl
2020-07-10,14.100804427668303,Aizawl
2020-07-11,11.218575266222587,Aizawl
2020-07-02,31.57796961325569,Amaravati
2020-07-03,29.335355680150613,Amaravati
2020-07-04,25.910611542537566,Amaravati
2020-07-05,25.827407564801547,Amaravati
2020-07-06,24.954195781682493,Amaravati
2020-07-07,27.076821330773463,Amaravati
2020-07-08,29.952127950131157,Amaravati
2020-07-09,27.219349742455414,Amaravati
2020-07-10,25.034340425132086,Amaravati
2020-07-11,21.679747408050574,Amaravati
2020-07-02,69.14589355704973,Amritsar
2020-07-03,62.7282711088482,Amritsar
2020-07-04,54.86771902948912,Amritsar
2020-07-05,47.694957755540685,Amritsar
2020-07-06,46.34986060834057,Amritsar
2020-07-07,44.59049010594402,Amritsar
2020-07-08,46.343506476763224,Amritsar
2020-07-09,49.94072242067722,Amritsar
2020-07-10,45.41146559930677,Amritsar
2020-07-11,39.507278775059824,Amritsar
2020-07-02,74.91385767875629,Bengaluru
2020-07-03,77.5278091817801,Bengaluru
2020-07-04,79.60910265860991,Bengaluru
2020-07-05,78.34993097910314,Bengaluru
2020-07-06,76.15737204741791,Bengaluru
2020-07-07,78.09078254532294,Bengaluru
2020-07-08,75.6135036752742,Bengaluru
2020-07-09,73.28820358045037,Bengaluru
2020-07-10,74.4861187376152,Bengaluru
2020-07-11,75.26999755606158,Bengaluru
2020-07-02,73.47457107323534,Bhopal
2020-07-03,62.0707220514928,Bhopal
2020-07-04,61.59215251014555,Bhopal
2020-07-05,64.77719047367711,Bhopal
2020-07-06,63.48524427406706,Bhopal
2020-07-07,60.167840735887594,Bhopal
2020-07-08,65.84204316433282,Bhopal
2020-07-09,69.51755947211936,Bhopal
2020-07-10,58.11371045037725,Bhopal
2020-07-11,57.63514090904203,Bhopal
2020-06-13,66.23210292691941,Brajrajnagar
2020-06-14,64.33258722994958,Brajrajnagar
2020-06-15,61.59041343802652,Brajrajnagar
2020-06-16,58.68475393989036,Brajrajnagar
2020-06-17,62.87652500710339,Brajrajnagar
2020-06-18,65.97951891178002,Brajrajnagar
2020-06-19,64.87734832470531,Brajrajnagar
2020-06-20,57.99667020768207,Brajrajnagar
2020-06-21,55.435270778219284,Brajrajnagar
2020-06-22,52.163560259568875,Brajrajnagar
2020-07-02,58.43646748939694,Chandigarh
2020-07-03,56.33990700731534,Chandigarh
2020-07-04,51.93042182789883,Chandigarh
2020-07-05,46.97640727050278,Chandigarh
2020-07-06,53.87010469505799,Chandigarh
2020-07-07,57.76318834673965,Chandigarh
2020-07-08,57.82698088918286,Chandigarh
2020-07-09,57.59471641404469,Chandigarh
2020-07-10,55.498155931963844,Chandigarh
2020-07-11,51.08867075254469,Chandigarh
2020-07-02,86.19950133362359,Chennai
2020-07-03,84.67292375128785,Chennai
2020-07-04,84.34568233794336,Chennai
2020-07-05,81.97770815901448,Chennai
2020-07-06,76.44190682962713,Chennai
2020-07-07,80.56722136579428,Chennai
2020-07-08,82.6423608436951,Chennai
2020-07-09,80.48368026605472,Chennai
2020-07-10,77.14152793853852,Chennai
2020-07-11,75.13344725380173,Chennai
2020-07-01,40.94041881071105,Coimbatore
2020-07-02,39.98382987065829,Coimbatore
2020-07-03,40.29991999171715,Coimbatore
2020-07-04,39.270142294037726,Coimbatore
2020-07-05,36.0296895192243,Coimbatore
2020-07-06,35.68458153196963,Coimbatore
2020-07-07,37.860761376106986,Coimbatore
2020-07-08,38.225138756138925,Coimbatore
2020-07-09,37.26854981608621,Coimbatore
2020-07-10,37.58463993714569,Coimbatore
2020-07-02,64.41735364736135,Delhi
2020-07-03,64.07612372887574,Delhi
2020-07-04,56.19078246176542,Delhi
2020-07-05,48.951370452924536,Delhi
2020-07-06,43.80861998961025,Delhi
2020-07-07,44.545158931319065,Delhi
2020-07-08,46.93493407070221,Delhi
2020-07-09,48.03178458811092,Delhi
2020-07-10,49.11223015731723,Delhi
2020-07-11,42.61634726668068,Delhi
2020-07-02,112.04124693292968,Ernakulam
2020-07-03,113.34140123521388,Ernakulam
2020-07-04,113.72760242394999,Ernakulam
2020-07-05,108.62743940181564,Ernakulam
2020-07-06,113.93290731758346,Ernakulam
2020-07-07,119.19181958471113,Ernakulam
2020-07-08,119.54114813806916,Ernakulam
2020-07-09,115.42649596826475,Ernakulam
2020-07-10,116.72665027055484,Ernakulam
2020-07-11,117.11285145928456,Ernakulam
2020-07-02,99.18621014584751,Gurugram
2020-07-03,97.62904145591168,Gurugram
2020-07-04,84.49881873483395,Gurugram
2020-07-05,78.5588523700869,Gurugram
2020-07-06,72.78246578743318,Gurugram
2020-07-07,75.72119920682994,Gurugram
2020-07-08,85.01192540509618,Gurugram
2020-07-09,79.5125014739121,Gurugram
2020-07-10,78.89461691256938,Gurugram
2020-07-11,66.49150120746474,Gurugram
2020-07-02,10.0,Guwahati
2020-07-03,10.0,Guwahati
2020-07-04,10.0,Guwahati
2020-07-05,10.0,Guwahati
2020-07-06,10.0,Guwahati
2020-07-07,10.0,Guwahati
2020-07-08,10.0,Guwahati
2020-07-09,10.0,Guwahati
2020-07-10,10.0,Guwahati
2020-07-11,10.0,Guwahati
2020-07-02,46.432127247098975,Hyderabad
2020-07-03,44.485071451140655,Hyderabad
2020-07-04,41.77014480770773,Hyderabad
2020-07-05,41.13108435957682,Hyderabad
2020-07-06,40.7797806430431,Hyderabad
2020-07-07,42.684972355679804,Hyderabad
2020-07-08,43.50035944712742,Hyderabad
2020-07-09,45.18818298102866,Hyderabad
2020-07-10,43.16776534519586,Hyderabad
2020-07-11,40.338205822765474,Hyderabad
2020-07-02,58.734131171278555,Jaipur
2020-07-03,57.244255731298416,Jaipur
2020-07-04,58.16076405167368,Jaipur
2020-07-05,51.55740423206236,Jaipur
2020-07-06,50.2936661183802,Jaipur
2020-07-07,48.870370900065076,Jaipur
2020-07-08,48.52779879383415,Jaipur
2020-07-09,46.62547847559311,Jaipur
2020-07-10,45.908551812237384,Jaipur
2020-07-11,47.68105251566754,Jaipur
2020-07-02,120.53868557598928,Jorapokhar
2020-07-03,116.81030126854961,Jorapokhar
2020-07-04,110.71519809660506,Jorapokhar
2020-07-05,104.1599050778578,Jorapokhar
2020-07-06,106.26295923664418,Jorapokhar
2020-07-07,111.96455397453143,Jorapokhar
2020-07-08,110.8465984530269,Jorapokhar
2020-07-09,115.1426245623705,Jorapokhar
2020-07-10,111.84471127810617,Jorapokhar
2020-07-11,106.18638290168934,Jorapokhar
2020-07-02,88.91107366470892,Kochi
2020-07-03,86.66140009207014,Kochi
2020-07-04,87.05767487132766,Kochi
2020-07-05,86.36084495527349,Kochi
2020-07-06,82.43969192335733,Kochi
2020-07-07,86.688565281747,Kochi
2020-07-08,101.72901373843432,Kochi
